Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
0,Light Sources,No (not none),Number,No light sources,No light available,"Sensor will receive no light, but thermal noise or black current can  cause wrong input"
1,Light Sources,"More (more of, higher)",Number,Many light sources (more light sources than expected),Too much light,Overexposure (of whole image)
2,Light Sources,"More (more of, higher)",Number,Many light sources (more light sources than expected),Too few shadows,Algorithms using shadows can be confused
3,Light Sources,"Less (less of, lower)",Number,Few light sources (fewer light sources than expected),Too faint light (in parts of the scene),Sensor will receive too faint light from some scene regions
4,Light Sources,"Less (less of, lower)",Number,Few light sources (fewer light sources than expected),Too many shadows,Algorithms can be confused by shadows
5,Light Sources,"Less (less of, lower)",Number,Few light sources (fewer light sources than expected),Very sharp shadows,
6,Light Sources,As well as,Number,Mirrors fake additional light sources,Light sources can appear at locations other than where they are,Algorithm confuses position of light sources
7,Light Sources,As well as,Number,Mirrors fake additional light sources,Increases shadow complexity,Algorithm detects more light sources than exist
8,Light Sources,As well as,Number,Mirrors fake additional light sources,"Also as ""More""","Also as ""More"""
9,Light Sources,Part of,Number,Part of expected light source configuration is missing,"Light source configuration appears different than ""usual""",Scene-relevant light-source or shadow-configuration not detected
10,Light Sources,Part of,Number,Part of expected light source configuration is missing,"Shadow configuration appears different than ""usual""",Scene-relevant light-source or shadow-configuration confused with other config.
11,Light Sources,Where else,Number,Light sources are arranged differently than expected,Characteristic arrangements are corrupted,CV alg. based on characteristic arrangements of lights fail
12,Light Sources,Spatial periodic,Number,Several light sources are configured in periodic manner,Consequences depend on combined param.,Hazards depend on combined param.
13,Light Sources,Spatial aperiodic,Number,"See ""spatial periodic""","See ""spatial periodic""","See ""spatial periodic"""
14,Light Sources,Temporal periodic,Number,Number of light sources varies periodically,Illumination changes predictable with time,Illumination may change significantly between different exposures
15,Light Sources,Temporal aperiodic,Number,"See ""temporal periodic""","See ""temporal periodic""","See ""temporal periodic"""
16,Light Sources,No (not none),Position,Position of light source not known,Light source is not in direct view or not detected as such,An algorithm cannot relate a shadow from the scene to the respective light source and might confuse it with an object
17,Light Sources,No (not none),Position,"No finite position known, hence infinitely far away",Light rays are parallel,Rendering: this approximation can lead to shadows different from real ones
18,Light Sources,No (not none),Position,"No finite position known, hence infinitely far away","No measurable dimming within ""terrestrial"" distances due to distance from light source",
19,Light Sources,"More (more of, higher)",Position,L.s. far away from scene,Lighting of scene can be too weak,See No
20,Light Sources,"More (more of, higher)",Position,L.s. far away from scene,Also: See No,also: See Less Num 
21,Light Sources,"Less (less of, lower)",Position,L.s. near to observer ,Lighting of scene can be too strong,Over- and underexposure in same scene possible
22,Light Sources,"Less (less of, lower)",Position,L.s. near to observer ,Light intensity may decrease (with increasing distance from l.s.) significantly within scene,Only parts close to l.s. sufficiently illuminated
23,Light Sources,"Less (less of, lower)",Position,L.s. near to observer ,Shadow direction may change significantly within scene ,Different shadow directions may confuse algorithm 
24,Light Sources,"Less (less of, lower)",Position,L.s. near to observer ,See More Num ,
25,Light Sources,As well as,Position,L.s. can only be described with several pos.s,See Num,See Num
26,Light Sources,Part of,Position,Part of l.s. is visible,Light source at the image's edge looks different than in the middle,Overexposure (of image parts)
27,Light Sources,Part of,Position,Part of l.s. is visible,L.s. may look strange,Reflections of optics in image
28,Light Sources,Part of,Position,Part of l.s. is visible,,Blooming
29,Light Sources,Part of,Position,Part of l.s. is visible,,L.s. may be confused with another l.s. by CV alg.
30,Light Sources,Where else,Position,L.s. has a different position than expected,Algorithms needing a l.s. pos. are not applicable,The changed position will reduce the detection rate of an algorithm if it was trained using old scene data
31,Light Sources,Where else,Position,L.s. has a different position than expected,Shadows and object visibility are different than expected,
32,Light Sources,Where else,Position,L.s. has a different position than expected,See More & Less for Area (combination of both),
33,Light Sources,Where else,Position,L.s. position cannot be assigned precisely (with a certain position),See Where else Pos. (1),See Where else Pos. (1)
34,Light Sources,Spatial periodic,Position,MISSING,,
35,Light Sources,Spatial periodic,Position,MISSING,,
36,Light Sources,Spatial aperiodic,Position,MISSING,,
37,Light Sources,Temporal periodic,Position,L.s. position changes periodically,Illumination and shading (shadowing) varies predictably,"Appearance and shading of same scene may change significantly but predictably (""learnable"")"
38,Light Sources,Temporal aperiodic,Position,L.s. position changes aperiodically,Illumination and shading (shadowing) varies unpredictably,Appearance and shading of same scene may change significantly and not predictably 
39,Light Sources,Before,Position,L.s. moves along a path earlier than expected,See Other than,See Other than
40,Light Sources,Before,Position,L.s. moves away before Observer has started to gather information,See Less,See Less
41,Light Sources,After,Position,L.s. moves along a path later than expected,See Other than,See Other than
42,Light Sources,After,Position,L.s. moves into view after Observer has ended to gather  information,See Less,See Less
43,Light Sources,In front of,Position,Two or more light sources in a row: The expected light source is in the back,Wrong side of objects are lit,See Less
44,Light Sources,In front of,Position,Two or more light sources in a row: The expected light source is in the back,"Could be same as less, depending on strength of other light source",
45,Light Sources,In front of,Position,L.s. is part of scene (in front of observer),L.s. can be directly visible from observer,Overexposure (of image parts) - local outshining
46,Light Sources,In front of,Position,L.s. is part of scene (in front of observer),,Reflections of optics in image
47,Light Sources,In front of,Position,L.s. is part of scene (in front of observer),,Virtual rays in image
48,Light Sources,In front of,Position,L.s. is part of scene (in front of observer),,blooming
49,Light Sources,Behind,Position,Two or more light sources in a row: The expected light source is in front,Could be same as more depending on strength of other light source,See more
50,Light Sources,Behind,Position,L.s. behind Observer,Objects illuminated with small angle between direction of light and direction of view,Small irregularities on object surfaces with same colours as surroundings may remain undetected
51,Light Sources,Behind,Position,L.s. behind Observer,Shadows hardly visible and short,Transparent objects may remain undetected
52,Light Sources,Behind,Position,L.s. behind Observer,Little contrasts on smooth surfaces,Reflecting areas oriented parallel to image plain may appear over exposed
53,Light Sources,Behind,Position,L.s. behind Observer,Observer can cast shadow onto the scene (has to be modelled if important for appl.),
54,Light Sources,Faster,Position,L.s. moves faster than expected,L.s. stays shorter at a place than expected,Too weak light
55,Light Sources,Faster,Position,L.s. moves faster than expected,Relativistic effects,Underexposure
56,Light Sources,Faster,Position,L.s. moves faster than expected,Doppler Shift,Motion blur
57,Light Sources,Slower,Position,L.s. moves slower than expected,L.s. stays longer at a place than expected,Overexposure
58,Light Sources,Slower,Position,L.s. moves slower than expected,Too much light,
59,Light Sources,No (not none),Area,Point-like l.s.,No l.s. extent (needed to be computed),Extremely sharp shadows
60,Light Sources,"More (more of, higher)",Area,Large l.s.,Complex illumination computation needed,Diffuse shadows
61,Light Sources,"More (more of, higher)",Area,Large l.s.,,Low contrasts
62,Light Sources,"Less (less of, lower)",Area,L.s. with small but not point-like extent,See No,See No
63,Light Sources,As well as,Area,L.s. with both small and large extents,Mixture of illumination models needed,Overexposure
64,Light Sources,As well as,Area,L.s. with both small and large extents,,Anisotropic shadowing
65,Light Sources,Part of,Area,Part of l.s. (area) is visible (although Pos is outside),See Pos,See Pos
66,Light Sources,Reverse,Area,L.s. shadows the area (because it is an object too),Creates unexpected Texture,See Less and Other than Texture
67,Light Sources,Reverse,Area,L.s. shadows the area (because it is an object too),-Too weak light on scene,
68,Light Sources,Spatial periodic,Area,See Num,See Num,
69,Light Sources,Spatial aperiodic,Area,"Instead of focusing the light in the wanted area, the light source spreads the light into different patches",This creates a texture ,See More texture
70,Light Sources,Temporal periodic,Area,Radiating area changes periodically,Illumination and shading (shadowing) changes predictably,"Appearance and shading of scene may change (significantly) but predictably (""learnable"")"
71,Light Sources,Temporal aperiodic,Area,Radiating area changes aperiodically,Illumination and shading (shadowing) changes unpredictably,Appearance and shading of scene may change (significantly) and not predictably
72,Light Sources,Behind,Area,L.s. behind observer,"See ""Behind Pos.""","See ""behind pos."""
73,Light Sources,Behind,Area,L.s. behind observer,,Large area may remove contrasts to a high degree (completely)
74,Light Sources,Behind,Area,L.s. behind observer,,Small area may cause to cast observer large shadow onto scene
75,Light Sources,No (not none),Spectrum,Monochromatic light source,To little texture as contrast is also created by different colours which are not visible under monochromatic light,No colours can be distinguished in scene
76,Light Sources,No (not none),Spectrum,Monochromatic light source,Colours in scene reduced to one frequency (strong information reduction),"If observer not sensitive to emitted colour, under exposure will likely result"
77,Light Sources,"More (more of, higher)",Spectrum,More continuous spectrum (l.s. has a very broad spectrum),Little influence on scene colours by l.s.,Underexposure
