Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
0,Light Sources,No (not none),Number,No light sources,No light available,"Sensor will receive no light, but thermal noise or black current can  cause wrong input"
1,Light Sources,"More (more of, higher)",Number,Many light sources (more light sources than expected),Too much light,Overexposure (of whole image)
2,Light Sources,"More (more of, higher)",Number,Many light sources (more light sources than expected),Too few shadows,Algorithms using shadows can be confused
3,Light Sources,"Less (less of, lower)",Number,Few light sources (fewer light sources than expected),Too faint light (in parts of the scene),Sensor will receive too faint light from some scene regions
4,Light Sources,"Less (less of, lower)",Number,Few light sources (fewer light sources than expected),Too many shadows,Algorithms can be confused by shadows
5,Light Sources,"Less (less of, lower)",Number,Few light sources (fewer light sources than expected),Very sharp shadows,
6,Light Sources,As well as,Number,Mirrors fake additional light sources,Light sources can appear at locations other than where they are,Algorithm confuses position of light sources
7,Light Sources,As well as,Number,Mirrors fake additional light sources,Increases shadow complexity,Algorithm detects more light sources than exist
8,Light Sources,As well as,Number,Mirrors fake additional light sources,"Also as ""More""","Also as ""More"""
9,Light Sources,Part of,Number,Part of expected light source configuration is missing,"Light source configuration appears different than ""usual""",Scene-relevant light-source or shadow configuration not detected
10,Light Sources,Part of,Number,Part of expected light source configuration is missing,"Shadow configuration appears different than ""usual""",Scene-relevant light-source or shadow configuration confused with other configuration
11,Light Sources,Where else,Number,Light sources are arranged differently than expected,Characteristic arrangements are corrupted,CV algorithm based on characteristic arrangements of lights fail
12,Light Sources,Spatial periodic,Number,Several light sources are configured in periodic manner,Consequences depend on combined parameter,Hazards depend on combined parameter
13,Light Sources,Spatial aperiodic,Number,"See ""spatial periodic"" [Several light sources are configured in aperiodic manner]","See ""spatial periodic"" [Consequences depend on combined parameter]","See ""spatial periodic"" [Hazards depend on combined parameter]"
16,Light Sources,No (not none),Position,Position of light source not known,Light source is not in direct view or not detected as such,An algorithm cannot relate a shadow from the scene to the respective light source and might confuse it with an object
17,Light Sources,No (not none),Position,"No finite position known, hence infinitely far away",Light rays are parallel,Rendering: this approximation can lead to shadows different from real ones
18,Light Sources,No (not none),Position,"No finite position known, hence infinitely far away","No measurable dimming within ""terrestrial"" distances due to distance from Light source",
19,Light Sources,"More (more of, higher)",Position,Light source far away from scene,Lighting of scene can be too weak,"See No [Sensor will receive no light, but thermal noise or black current can  cause wrong input]"
20,Light Sources,"More (more of, higher)",Position,Light source far away from scene,Also: See No [No light available],also: See Less Num [Sensor will receive too faint light from some scene regions; Algorithms can be confused by shadows]
21,Light Sources,"Less (less of, lower)",Position,Light source near to observer ,Lighting of scene can be too strong,Over- and underexposure in same scene possible
22,Light Sources,"Less (less of, lower)",Position,Light source near to observer ,Light intensity may decrease (with increasing distance from Light source) significantly within scene,Only parts close to Light source sufficiently illuminated
23,Light Sources,"Less (less of, lower)",Position,Light source near to observer ,Shadow direction may change significantly within scene ,Different shadow directions may confuse algorithm 
24,Light Sources,"Less (less of, lower)",Position,Light source near to observer ,See More Num [Too much light; Too few shadows],
25,Light Sources,As well as,Position,Light source can only be described with several positions,See Num [Light sources can appear at locations other than where they are; Increases shadow complexity],See Num[Algorithm confuses position of light sources; Algorithms can be confused by shadows]
26,Light Sources,Part of,Position,Part of Light source is visible,Light source at the image's edge looks different than in the middle,Overexposure (of image parts)
27,Light Sources,Part of,Position,Part of Light source is visible,Light source may look strange,Reflections of optics in image
28,Light Sources,Part of,Position,Part of Light source is visible,,Blooming
29,Light Sources,Part of,Position,Part of Light source is visible,,Light source may be confused with another Light source by CV algorithm
30,Light Sources,Where else,Position,Light source has a different position than expected,Algorithms needing a Light source position are not applicable,The changed position will reduce the detection rate of an algorithm if it was trained using old scene data
31,Light Sources,Where else,Position,Light source has a different position than expected,Shadows and object visibility are different than expected,
32,Light Sources,Where else,Position,Light source has a different position than expected,See More & Less for Area (combination of both) [Complex illumination computation needed],
33,Light Sources,Where else,Position,Light source position cannot be assigned precisely (with a certain position),See Where else position (1) [Algorithms needing a Light source position are not applicable],See Where else position (1) [The changed position will reduce the detection rate of an algorithm if it was trained using old scene data]
43,Light Sources,In front of,Position,Two or more light sources in a row: The expected light source is in the back,Wrong side of objects are lit,See Less [Over- and underexposure in same scene possible;  Only parts close to Light source sufficiently illuminated; Different shadow directions may confuse algorithm]
44,Light Sources,In front of,Position,Two or more light sources in a row: The expected light source is in the back,"Could be same as less, depending on strength of other light source",
45,Light Sources,In front of,Position,Light source is part of scene (in front of observer),Light source can be directly visible from observer,Overexposure (of image parts) - local outshining
46,Light Sources,In front of,Position,Light source is part of scene (in front of observer),,Reflections of optics in image
47,Light Sources,In front of,Position,Light source is part of scene (in front of observer),,Virtual rays in image
48,Light Sources,In front of,Position,Light source is part of scene (in front of observer),,blooming
49,Light Sources,Behind,Position,Two or more light sources in a row: The expected light source is in front,Could be same as more depending on strength of other light source,"See more [Sensor will receive no light, but thermal noise or black current can  cause wrong input; Sensor will receive too faint light from some scene regions; Algorithms can be confused by shadows]"
50,Light Sources,Behind,Position,Light source behind Observer,Objects illuminated with small angle between direction of light and direction of view,Small irregularities on object surfaces with same colours as surroundings may remain undetected
51,Light Sources,Behind,Position,Light source behind Observer,Shadows hardly visible and short,Transparent objects may remain undetected
52,Light Sources,Behind,Position,Light source behind Observer,Little contrasts on smooth surfaces,Reflecting areas oriented parallel to image plain may appear over exposed
53,Light Sources,Behind,Position,Light source behind Observer,Observer can cast shadow onto the scene (has to be modelled if important for application),
56,Light Sources,Faster,Position,Light source moves faster than expected,Doppler Shift,Motion blur
59,Light Sources,No (not none),Area,Point-like Light source,No Light source extent (needed to be computed),Extremely sharp shadows
60,Light Sources,"More (more of, higher)",Area,Large Light source,Complex illumination computation needed,Diffuse shadows
61,Light Sources,"More (more of, higher)",Area,Large Light source,,Low contrasts
62,Light Sources,"Less (less of, lower)",Area,Light source with small but not point-like extent,See No [No Light source extent (needed to be computed)],See No [Extremely sharp shadows]
63,Light Sources,As well as,Area,Light source with both small and large extents,Mixture of illumination models needed,Overexposure
64,Light Sources,As well as,Area,Light source with both small and large extents,,Anisotropic shadowing
65,Light Sources,Part of,Area,Part of Light source (area) is visible (although Pos is outside),See Pos [Light source at the image's edge looks different than in the middle; Light source may look strange],See Pos [Overexposure (of image parts); Reflections of optics in image;  Blooming;  Virtual rays in image]
66,Light Sources,Reverse,Area,Light source shadows the area (because it is an object too),Creates unexpected Texture,See Less and Other than Texture [Structured light  approach is not able to identify projected pattern ; CV algorithms relying on illumination texture may be severely confused]
67,Light Sources,Reverse,Area,Light source shadows the area (because it is an object too),Too weak light on scene,
68,Light Sources,Spatial periodic,Area,See Num [Several light sources are configured in periodic manner],See Num [Consequences depend on combined parameter],
69,Light Sources,Spatial aperiodic,Area,"Instead of focusing the light in the wanted area, the light source spreads the light into different patches",This creates a texture ,See More texture
73,Light Sources,Behind,Area,Light source behind observer,,Large area may remove contrasts to a high degree (completely)
74,Light Sources,Behind,Area,Light source behind observer,,Small area may cause to cast observer large shadow onto scene
75,Light Sources,No (not none),Spectrum,Monochromatic light source,To little texture as contrast is also created by different colours which are not visible under monochromatic light,No colours can be distinguished in scene
76,Light Sources,No (not none),Spectrum,Monochromatic light source,Colours in scene reduced to one frequency (strong information reduction),"If observer not sensitive to emitted colour, under exposure will likely result"
77,Light Sources,"More (more of, higher)",Spectrum,More continuous spectrum (Light source has a very broad spectrum),Little influence on scene colours by Light source,Underexposure
78,Light Sources,"More (more of, higher)",Spectrum,More continuous spectrum (Light source has a very broad spectrum),Very broad spectrum means the Intensity itself will be low as much of the energy is wasted in regions the sensor cannot use,
79,Light Sources,"Less (less of, lower)",Spectrum,Less continuous spectrum (Light source has a very sharp spectrum) ,"Only a few ""colours"" emitted by Light source",Scene may appear in unusual colours
80,Light Sources,"Less (less of, lower)",Spectrum,Less continuous spectrum (Light source has a very sharp spectrum) ,"Like ""No"", if only one colour emitted","If observer is sensitive neither to emitted light nor to frequencies to which Light source light is transformed by some object/ process, underexposure may result"
81,Light Sources,As well as,Spectrum,Light source has additional peak in spectrum where it's not expected,See Meaning [Light source has additional peak in spectrum where it's not expected],Ultra violet light in addition to visible light can cause unexpected effects in electronic sensor part of observer
82,Light Sources,As well as,Spectrum,Light source has additional peak in spectrum where it's not expected,,"If additional peak is within the sensors response, this will create some unwanted overexposure"
